iteration,elapsed_seconds
0,3.599e-06
1,9.474e-06
2,1.0334e-05
3,1.0994e-05
4,1.165e-05
5,1.2412e-05
6,1.3065e-05
7,1.3744e-05
8,1.4375e-05
9,1.5126e-05
10,1.5825e-05
11,1.6496e-05
12,1.7126e-05
13,1.7756e-05
14,1.8376e-05
15,1.8998e-05
16,1.9649e-05
17,2.0341e-05
18,2.1003e-05
19,2.1625e-05
20,2.2245e-05
21,2.289e-05
22,2.3537e-05
23,2.4165e-05
24,2.4784e-05
25,2.5721e-05
26,2.6354e-05
27,2.6999e-05
28,2.7619e-05
29,2.8239e-05
30,2.8858e-05
31,2.9507e-05
32,3.0134e-05
33,3.0889e-05
34,3.1508e-05
35,3.2134e-05
36,3.2758e-05
37,3.3396e-05
38,4.0296e-05
39,4.1008e-05
40,4.1644e-05
41,4.2412e-05
42,4.3057e-05
43,4.3678e-05
44,4.4292e-05
45,4.4911e-05
46,4.5523e-05
47,4.614e-05
48,4.6754e-05
49,4.7438e-05
50,4.8057e-05
51,4.8674e-05
52,4.9306e-05
53,4.9972e-05
54,5.0694e-05
55,5.1319e-05
56,5.1939e-05
57,5.2656e-05
58,5.3289e-05
59,5.3909e-05
60,5.4868e-05
61,5.5484e-05
62,5.6119e-05
63,5.6737e-05
64,5.7388e-05
65,5.8586e-05
66,5.921e-05
67,5.9829e-05
68,6.0457e-05
69,6.1083e-05
70,6.1707e-05
71,6.2323e-05
72,6.2947e-05
73,6.3678e-05
74,6.4294e-05
75,6.493e-05
76,6.5547e-05
77,6.6499e-05
78,6.7138e-05
79,6.7782e-05
80,6.8413e-05
81,6.9037e-05
82,6.9657e-05
83,7.0279e-05
84,7.09e-05
85,7.1527e-05
86,7.2143e-05
87,7.279e-05
88,7.3404e-05
89,7.4022e-05
90,7.465e-05
91,7.527e-05
92,7.5897e-05
93,7.674e-05
94,7.7365e-05
95,7.7982e-05
96,7.86e-05
97,7.9217e-05
98,7.9833e-05
99,8.0457e-05
100,8.109e-05
101,8.3413e-05
102,8.4044e-05
103,8.4666e-05
104,8.5286e-05
105,8.5913e-05
106,8.6527e-05
107,8.7143e-05
108,8.776e-05
109,8.842e-05
110,8.9039e-05
111,8.9657e-05
112,9.027e-05
113,9.0887e-05
114,9.1503e-05
115,9.2137e-05
116,9.2751e-05
117,9.3364e-05
118,9.3977e-05
119,9.4596e-05
120,9.5251e-05
121,9.7548e-05
122,9.8231e-05
123,9.8878e-05
124,9.9503e-05
125,0.000100127
126,0.000100767
127,0.000101383
128,0.000102
129,0.000102675
130,0.000103328
131,0.000103947
132,0.00010457
133,0.000105193
134,0.000105821
135,0.000106437
136,0.000107059
137,0.000107716
138,0.000108341
139,0.00010897
140,0.000109597
141,0.000110229
142,0.000110853
143,0.000111477
144,0.000112093
145,0.000112708
146,0.000113358
147,0.00011399
148,0.000114624
149,0.000115292
150,0.000115923
151,0.000116557
152,0.000117203
153,0.000117828
154,0.00011848
155,0.000119107
156,0.000119744
157,0.000120374
158,0.000121013
159,0.000121642
160,0.00012233
161,0.000122953
162,0.000123576
163,0.000124208
164,0.000126359
165,0.000127014
166,0.000127641
167,0.000128268
168,0.000128908
169,0.000129532
170,0.000130154
171,0.000130799
172,0.000131428
173,0.00013209
174,0.000132711
175,0.000133335
176,0.000133996
177,0.000134681
178,0.000135357
179,0.000135988
180,0.000136628
181,0.000137262
182,0.000137908
183,0.000138576
184,0.000139194
185,0.000139811
186,0.000140471
187,0.00014111
188,0.000141744
189,0.000142378
190,0.000143014
191,0.000143647
192,0.000144594
193,0.000145222
194,0.00014585
195,0.00014647
196,0.000147086
197,0.000147709
198,0.000148327
199,0.000148962
200,0.000149585
201,0.000150352
202,0.000150989
203,0.000151609
204,0.000152236
205,0.000152854
206,0.000153516
207,0.000154145
208,0.000154777
209,0.000155412
210,0.00015605
211,0.000156672
212,0.000157291
213,0.000157917
214,0.000158533
215,0.000159171
216,0.000159813
217,0.000160512
218,0.000161136
219,0.000161752
220,0.000162393
221,0.000163028
222,0.000163643
223,0.000164258
224,0.000164877
225,0.000165603
226,0.000166242
227,0.000168578
228,0.000169246
229,0.000169877
230,0.000170503
231,0.00017112
232,0.000171741
233,0.000172472
234,0.000173095
235,0.000173716
236,0.000174332
237,0.000174953
238,0.000175568
239,0.000176184
240,0.000176804
241,0.000177418
242,0.000178033
243,0.00017865
244,0.000179273
245,0.000179914
246,0.00018057
247,0.000183943
248,0.000184601
249,0.0001853
250,0.000185921
251,0.000186543
252,0.00018717
253,0.000187791
254,0.000188413
255,0.00018905
256,0.000189673
257,0.000190401
258,0.000191112
259,0.000191826
260,0.00019246
261,0.000193087
262,0.00019371
263,0.000194328
264,0.00019495
265,0.000195579
