gene,1,2,3,4,5,6,7
YPS5,-0.126,-0.2,0.401,0.891,0.673,2.059,3.24
HSP78,-0.226,-0.018,-0.363,0.836,1.281,2.321,2.869
NTH1,0.233,0.119,0.366,1.106,1.033,2.2,2.256
ROM1,-0.176,0.055,-0.367,0.27,0.733,2.041,2.509
RRP12,0.146,-0.111,-0.235,-1.014,-1.405,-3.278,-2.823
AAH1,-0.11,0.097,-0.19,-1.057,-1.132,-2.774,-2.682
HAS1,0.191,-0.086,-0.33,-1.002,-1.319,-2.735,-2.712
SAM1,0.248,0.358,0.149,-0.676,-0.841,-2.588,-2.706
GPP1,0.34,0.023,-0.337,-0.743,-1.022,-2.307,-2.573
YGR160W,0.391,0.225,-0.345,-1.341,-1.342,-2.551,-2.773
UTP5,0.071,-0.028,-0.224,-0.855,-0.999,-1.933,-5.481
HAS1,0.191,-0.086,-0.33,-1.002,-1.319,-2.735,-2.712
AAH1,-0.11,0.097,-0.19,-1.057,-1.132,-2.774,-2.682
YGR160W,0.391,0.225,-0.345,-1.341,-1.342,-2.551,-2.773
MKC7,0.193,0.147,-0.423,-0.672,-0.978,-2.502,-2.322
GPP1,0.34,0.023,-0.337,-0.743,-1.022,-2.307,-2.573
SAM1,0.248,0.358,0.149,-0.676,-0.841,-2.588,-2.706
RLP7,-0.035,-0.21,-0.343,-0.989,-0.671,-2.77,-2.007
DBF2,0.483,0.146,0.05,-0.794,-1.567,-2.123,-2.861
UTP10,-0.028,0.143,-0.198,-0.979,-0.865,-3.216,-1.634
FPR4,0.02,0,0.057,-1.016,-0.785,-2.619,-1.866
DIP2,-0.281,-0.203,-0.376,-0.722,-0.667,-2.79,-1.825
ILV5,0.425,0.175,-0.542,-1.047,-1.005,-2.401,-1.759
YNL303W,-0.333,-0.684,-0.434,-0.398,-0.911,-2.527,-2.081
MAK21,0.011,0.046,-0.088,-0.585,-0.659,-2.233,-2.053
UTP15,0.129,0.055,-0.567,-1.071,-1.118,-1.885,-2.142
YNL060C,0.097,-0.028,-0.226,-0.882,-1.114,-2.052,-1.749
ERG11,0.224,0.367,0.312,0.014,-0.003,-1.357,-0.811
KRE33,0.159,0.218,-0.057,-0.739,-0.973,-1.976,-1.988
ARB1,0.326,0.447,-0.411,-0.746,-0.995,-2.191,-1.813
MES1,0.499,0.429,-0.083,-0.564,-0.612,-2.522,-1.778
INA1,0.276,0.417,0.443,-0.463,-0.4,-2.398,-2.459
RRP9,0.147,-0.194,-0.303,-0.704,-0.748,-1.733,-3.071
TEF4,0.19,-0.094,-0.072,-0.7,-0.487,-2.104,-2.013
NEW1,0.105,0.122,-0.185,-0.663,-0.947,-1.863,-1.995
MAK16,0.352,-0.108,-0.101,-0.665,-0.574,-2.137,-1.846
NHP2,0.098,-0.044,-0.04,-0.383,-0.251,-2.185,-2.312
RPL15A,0.511,0.347,0.385,0.572,0.306,-1.039,-1.8
RPL4B,0.161,0.42,0.186,0.321,0.252,-1.014,-1.76
RPL1A,0.082,0.039,0.304,-0.21,0.198,-1.55,-2.396
RPL16B,-0.048,-0.005,0.216,0.219,0.134,-1.037,-2.297
RPP0,0.266,0.395,0.399,0.112,-0.219,-1.745,-2.387
RPS20,0.223,0.312,0.011,0.147,0.038,-1.722,-2.511
RPL9A,0.465,0.393,0.536,0.295,0.224,-1.054,-1.568
RPS19B,0.715,0.389,0.279,0.247,0.366,-1.122,-1.868
RPS22B,0.475,0.401,0.302,0.275,0.206,-1.317,-1.774
RPL27A,0.617,0.417,0.535,0.214,0.221,-1.033,-1.584
RPL4B,0.161,0.42,0.186,0.321,0.252,-1.014,-1.76
RPL15B,0.412,0.081,0.266,0.522,0.143,-1.296,-2.018
RPS23B,0.16,0.315,0.344,0.332,0.327,-0.913,-1.6
PHO88,0.284,0.303,0.124,0.245,0.274,-1.037,-1.665
RPL11A,0.326,0.372,0.111,0.231,0.282,-1.231,-1.781
RPS25A,0.279,0.221,0.3,0.428,0.491,-0.999,-1.411
RPL23B,0.206,0.203,0.111,0.337,0.125,-1.148,-1.783
RPS28B,0.2,0.134,0.514,0.45,0.066,-1.204,-1.622
RPL1B,0.278,0.457,0.633,0.298,0.071,-1.249,-1.595
TMA19,0.163,0.363,0.241,0.246,0.225,-0.922,-1.504
YBR032W,0.054,0.202,0.317,0.348,0.183,-1.025,-2.039
ELO3,0.168,0.321,0.575,0.151,0.343,-1.143,-1.677
RPS29A,0.395,0.067,0.428,0.299,0.074,-1.207,-1.452
YFR031BC,0.333,0.501,0.672,0.18,0.198,-1.317,-1.801
RPS23A,0.496,0.374,0.305,0.408,0.507,-1.044,-1.246
RPS25B,0.19,0.404,0.155,0.317,0.478,-0.819,-1.434
EFT1,0.141,0.397,0.328,0.294,0.22,-1.254,-1.391
RPS12,0.164,0.343,0.162,0.345,0.163,-0.582,-1.649
TKL1,0.568,0.603,0.425,0.309,0.429,-1.242,-1.261
RPL14A,0.225,0.362,0.064,0.141,-0.043,-0.989,-1.748
RPS1B,0.278,0.245,0.298,0.202,0.199,-1.512,-2.032
GDT1,0.051,0.276,0.578,0.413,0.058,-1.389,-1.598
RPS6A,0.321,0.209,0.456,0.4,0.307,-1.221,-1.174
NOP56,0.494,0.467,0.791,0.127,0.062,-0.805,-1.633
RPL37A,0.406,0.163,0.09,0.109,0.109,-1.231,-1.487
RPP1B,0.211,0.137,0.138,0.268,0.267,-0.557,-1.826
RPS28A,0.193,0.141,0.484,0.319,0.147,-1.059,-1.267
RPL4A,0.256,0.507,0.632,0.504,0.339,-0.741,-1.264
RPS6B,0.243,0.253,0.129,0.291,0.375,-1.521,-2.083
VRG4,0.263,0.436,0.695,0.307,0.116,-1.183,-1.3
YLR198C,0.362,0.13,0.361,0.057,0.044,-1.322,-2.048
RPL14B,0.289,0.072,0.123,0.306,0.05,-1.458,-1.592
RPL20A,0.362,0.212,0.25,0.061,0.037,-1.396,-1.611
RPS19A,0.474,0.138,0.042,0.08,0.254,-1.429,-1.826
RPL2B,0.361,0.271,0.193,-0.012,0.085,-1.306,-1.985
RPS24A,0.235,0.056,0.326,0.079,-0.095,-1.056,-1.721
RPL31A,0.326,0.393,0.21,0.117,-0.168,-0.98,-1.503
PSA1,0.276,0.485,0.159,0.372,0.154,-0.656,-1.293
RPS29B,0.275,0.264,0.169,0.116,0.06,-0.831,-1.377
RPL10,0.172,0.338,0.014,0.024,0.115,-0.886,-1.906
RPS2,0.174,0.417,0.358,0.094,0.002,-1.462,-1.703
EMP70,0.278,0.223,0.334,0.254,0.207,-1.413,-1.242
RPP2B,0.167,0.25,0.011,0.279,0.271,-0.539,-1.988
APT1,0.223,0.446,0.635,0.275,-0.139,-0.91,-1.348
YLR076C,0.283,0.058,0.015,0.274,-0.072,-1.431,-1.894
RPL37B,0.263,0.176,0.294,-0.03,-0.006,-1.146,-1.481
RPL19A,0.114,0.085,0.428,0.081,0.005,-0.863,-1.508
SSB2,0.087,0.382,0.001,0.161,0.171,-0.822,-1.452
RPL22A,0.518,0.144,0.153,-0.028,0.102,-1.397,-1.525
ERG2,0.432,0.139,0.299,0.06,0.271,-1.419,-1.294
STM1,0.455,0.123,-0.111,0.151,-0.068,-0.689,-1.843
RPS4B,0.39,0.45,0.243,-0.087,0.108,-1.507,-1.717
TIF2,0.344,0.237,0.389,0.099,-0.264,-1.338,-1.528
RPS14A,0.259,0.197,0.107,-0.04,0.197,-0.854,-1.379
RPL34B,0.491,0.076,0.19,0.106,-0.077,-1.569,-1.876
EFT2,0.187,0.387,0.135,0.285,-0.074,-0.824,-1.233
